produto;sexo;idade_entrada;breakeven_exibido;breakeven_real;regra;resgate_10a_por_1mm;aportes_10a_por_1mm;pct_do_aportado
PRUDENTIAL_VIDA_INTEIRA_10;F;31;10;10;FIXO;354160.00;345745.90;102.43
PRUDENTIAL_VIDA_INTEIRA_10;F;32;10;10;FIXO;363030.00;354972.80;102.27
PRUDENTIAL_VIDA_INTEIRA_10;F;33;10;10;FIXO;372050.00;364476.80;102.08
PRUDENTIAL_VIDA_INTEIRA_10;F;34;10;10;FIXO;381230.00;368193.80;103.54
PRUDENTIAL_VIDA_INTEIRA_10;F;35;10;10;FIXO;390570.00;372070.50;104.97
PRUDENTIAL_VIDA_INTEIRA_10;F;36;10;10;FIXO;400080.00;376092.70;106.38
PRUDENTIAL_VIDA_INTEIRA_10;F;37;10;10;FIXO;409770.00;380626.90;107.66
PRUDENTIAL_VIDA_INTEIRA_10;F;38;10;10;FIXO;419630.00;390822.50;107.37
PRUDENTIAL_VIDA_INTEIRA_10;F;39;10;10;FIXO;429670.00;401236.90;107.09
PRUDENTIAL_VIDA_INTEIRA_10;F;40;10;10;FIXO;439870.00;411863.20;106.80
PRUDENTIAL_VIDA_INTEIRA_10;F;41;10;10;FIXO;450250.00;422694.20;106.52
PRUDENTIAL_VIDA_INTEIRA_10;F;42;10;10;FIXO;460790.00;433735.00;106.24
PRUDENTIAL_VIDA_INTEIRA_10;F;43;10;10;FIXO;471490.00;444990.60;105.96
PRUDENTIAL_VIDA_INTEIRA_10;F;44;10;10;FIXO;482330.00;456495.10;105.66
PRUDENTIAL_VIDA_INTEIRA_10;F;45;10;10;FIXO;493330.00;468249.60;105.36
PRUDENTIAL_VIDA_INTEIRA_10;F;46;10;10;FIXO;504490.00;480280.20;105.04
PRUDENTIAL_VIDA_INTEIRA_10;F;47;10;10;FIXO;515850.00;492613.80;104.72
PRUDENTIAL_VIDA_INTEIRA_10;F;48;10;10;FIXO;527430.00;505244.70;104.39
PRUDENTIAL_VIDA_INTEIRA_10;F;49;10;10;FIXO;539240.00;518178.60;104.06
PRUDENTIAL_VIDA_INTEIRA_10;F;50;10;10;FIXO;551290.00;531419.80;103.74
PRUDENTIAL_VIDA_INTEIRA_10;F;51;10;10;FIXO;563550.00;544962.00;103.41
PRUDENTIAL_VIDA_INTEIRA_10;F;52;10;10;FIXO;575990.00;558805.40;103.08
PRUDENTIAL_VIDA_INTEIRA_10;F;53;10;10;FIXO;588540.00;572930.90;102.72
PRUDENTIAL_VIDA_INTEIRA_10;F;54;10;10;FIXO;601160.00;587339.40;102.35
PRUDENTIAL_VIDA_INTEIRA_10;F;55;10;10;FIXO;613820.00;602078.20;101.95
PRUDENTIAL_VIDA_INTEIRA_10;F;56;10;10;CALCULADO;626530.00;617208.50;101.51
PRUDENTIAL_VIDA_INTEIRA_10;F;57;10;10;CALCULADO;639300.00;632824.60;101.02
PRUDENTIAL_VIDA_INTEIRA_10;F;58;10;10;CALCULADO;652170.00;649050.10;100.48
PRUDENTIAL_VIDA_INTEIRA_10;F;59;;;CALCULADO;665170.00;665993.20;99.88
PRUDENTIAL_VIDA_INTEIRA_10;F;60;;;CALCULADO;678300.00;683715.30;99.21
PRUDENTIAL_VIDA_INTEIRA_10;F;61;;;CALCULADO;691500.00;702234.40;98.47
PRUDENTIAL_VIDA_INTEIRA_10;F;62;;;CALCULADO;704710.00;721534.50;97.67
PRUDENTIAL_VIDA_INTEIRA_10;F;63;;;CALCULADO;717820.00;741534.20;96.80
PRUDENTIAL_VIDA_INTEIRA_10;F;64;;;CALCULADO;730740.00;762200.40;95.87
PRUDENTIAL_VIDA_INTEIRA_10;F;65;;;CALCULADO;743410.00;783579.30;94.87
PRUDENTIAL_VIDA_INTEIRA_10;F;66;;;CALCULADO;755810.00;805847.60;93.79
PRUDENTIAL_VIDA_INTEIRA_10;F;67;;;CALCULADO;767940.00;829268.30;92.60
PRUDENTIAL_VIDA_INTEIRA_10;F;68;;;CALCULADO;779810.00;854232.80;91.29
PRUDENTIAL_VIDA_INTEIRA_10;F;69;;;CALCULADO;791460.00;881156.70;89.82
PRUDENTIAL_VIDA_INTEIRA_10;F;70;;;CALCULADO;802870.00;910355.30;88.19
PRUDENTIAL_VIDA_INTEIRA_10;F;71;;;CALCULADO;397080.00;916320.80;43.33
PRUDENTIAL_VIDA_INTEIRA_10;F;72;;;CALCULADO;406630.00;975584.20;41.68
PRUDENTIAL_VIDA_INTEIRA_10;F;73;;;CALCULADO;415780.00;1039889.60;39.98
PRUDENTIAL_VIDA_INTEIRA_10;F;74;;;CALCULADO;424450.00;1109406.80;38.26
PRUDENTIAL_VIDA_INTEIRA_10;F;75;;;CALCULADO;432630.00;1184384.60;36.53
PRUDENTIAL_VIDA_INTEIRA_10;M;14;10;10;FIXO;259800.00;249628.00;104.07
PRUDENTIAL_VIDA_INTEIRA_10;M;15;10;10;FIXO;266270.00;256038.30;104.00
PRUDENTIAL_VIDA_INTEIRA_10;M;16;10;10;FIXO;272990.00;262447.50;104.02
PRUDENTIAL_VIDA_INTEIRA_10;M;17;10;10;FIXO;279940.00;268862.80;104.12
PRUDENTIAL_VIDA_INTEIRA_10;M;18;10;10;FIXO;287120.00;275328.30;104.28
PRUDENTIAL_VIDA_INTEIRA_10;M;19;10;10;FIXO;294530.00;281878.10;104.49
PRUDENTIAL_VIDA_INTEIRA_10;M;20;10;10;FIXO;302160.00;288559.40;104.71
PRUDENTIAL_VIDA_INTEIRA_10;M;21;10;10;FIXO;310020.00;295425.40;104.94
PRUDENTIAL_VIDA_INTEIRA_10;M;22;10;10;FIXO;318100.00;302505.20;105.16
PRUDENTIAL_VIDA_INTEIRA_10;M;23;10;10;FIXO;326380.00;309830.90;105.34
PRUDENTIAL_VIDA_INTEIRA_10;M;24;10;10;FIXO;334870.00;317437.70;105.49
PRUDENTIAL_VIDA_INTEIRA_10;M;25;10;10;FIXO;343570.00;328829.80;104.48
PRUDENTIAL_VIDA_INTEIRA_10;M;26;10;10;FIXO;352480.00;337138.30;104.55
PRUDENTIAL_VIDA_INTEIRA_10;M;27;10;10;FIXO;361570.00;345760.90;104.57
PRUDENTIAL_VIDA_INTEIRA_10;M;28;10;10;FIXO;370850.00;354690.70;104.56
PRUDENTIAL_VIDA_INTEIRA_10;M;29;10;10;FIXO;380310.00;363944.80;104.50
PRUDENTIAL_VIDA_INTEIRA_10;M;30;10;10;FIXO;389950.00;373504.90;104.40
PRUDENTIAL_VIDA_INTEIRA_10;M;31;10;10;FIXO;399760.00;383376.30;104.27
PRUDENTIAL_VIDA_INTEIRA_10;M;32;10;10;FIXO;409740.00;393556.90;104.11
